cleaned_comment,sentiment_score,sentiment
great watch,0.6249,positive
question insert host rna use ca protein also second question add host rna dna first place rna ribose dna deoxyribose also rna uracil nitrogenous base instead thymine,0.0,neutral
thank good sir really helped presentation,0.6597,positive
filling gap evidence showed regarding allegation stop misleading people,-0.5994,negative
watched half dozen video far crispr video helped piece everything together enough detail thank much,0.3612,positive
awesome videooooooo loved,0.8402,positive
guess could used bad weapon good healing,-0.4215,negative
shivin sir,0.0,neutral
hate science,-0.5719,negative
love video handsome,0.8126,positive
transformed weaponized version eugenics specifically create altered version plague undesirable population hope dont use,0.2732,positive
god love,0.743,positive
great video,0.6249,positive
wow,0.5859,positive
always come back video need refresher crispr video thank,0.3612,positive
thank discussion,0.3612,positive
video helped every major step academic career st year medical student still come back video help thank much,0.6369,positive
someone tell done though like machine used,0.3612,positive
clear,0.3818,positive
crisper living,0.0,neutral
blestematilor focul lui putin sa va arda nimic nu sa ramana din dracoveniile voastre spurcate,0.0,neutral
thank,0.3612,positive
year later video continue saving life degree incredible explanation please love god hope future generation never take post,0.8885,positive
great explanation highly appreciated,0.8268,positive
good job think mistake given bacterial strain crispr sequence inserted oldest infection located farthest ca gene recent closest ca gene,0.0772,positive
thanks lot year wow,0.7717,positive
basically x men technology price come playing god half life,0.4404,positive
cambridge level biology writer come lecture rewrite book,0.0,neutral
good explanation thank sir,0.6597,positive
thank much loved every second,0.7506,positive
brilliant simple explanation,0.5859,positive
allowed invite college graduation,0.1531,positive
guy heard mitochondrion hint powerhouse cell,0.0,neutral
genetics insane dystopian future incoming,-0.4019,negative
thank helpful,0.6486,positive
crispr made way general public form sickle cell treatment limited trial believe,-0.2263,negative
stumbled across breakfast wonderful video concept explained lucidily,0.5719,positive
come rna binding dna shouldnt dna bind bacteriophage dna,0.0,neutral
gracias ni un solo video con el que pudiese entenderlo ahora ha quedado clarsimo,0.34,positive
super helpful,0.7717,positive
helpful,0.4215,positive
would target cell otherwise gene want silenced would removed cell targeted,0.0772,positive
im sure im exactly work beautiful job explaining base concept relatively unscientific shlub like thanks,0.891,positive
inevitably lead people getting cancer using via gene mutation radiation ct scanner adjuvant shot enough customer allopathic medicine industry,-0.6597,negative
ahh ya totally get thanks simple explanation much clearer,0.4902,positive
teacher adviced entire class watch video better understanding see saved essay man thank,0.802,positive
amazing,0.5859,positive
soooo helpful thank,0.6486,positive
biology student helped much amazing video,0.5859,positive
hey question hope still reading replying comment cure disease whose gene every cell body replace insert new gene replacing old one causing disease cell body,0.4404,positive
many played jenga know basic displacement human complete understanding genetics true explanation junk dna opinion science generic run like business may theory lacking research application red tape snipped prematurely hasten contract deal scary shit,-0.0258,neutral
honestly beautiful ill need rewatch tho,0.6249,positive
great lecture simplicity explained thanks,0.7906,positive
typically never leave comment video really taught entire lecture lecture video teracher assigned shes bad teacher actually like somehow everything get shaky concept crispr system didnt know feel though illegal knowledge government try take point life,-0.747,negative
thanks,0.4404,positive
loved,0.5994,positive
legend,0.0,neutral
first year med student thank,0.3612,positive
grade biology education though fairly smart ive taken interest thing genetic modification general easy follow anyone recommend advanced thing though go cutting gene detail chemical etc detail adding new dna,0.891,positive
helix superbug cure use crisp cut superbug short chain manageable size short chain bug drug known u mioa,-0.2732,negative
mega helpful thanks lot,0.6908,positive
best video topic,0.6369,positive
wow amazinf really hope get study kinda stuff university,0.7902,positive
bioformatics program internship instructor took hour,0.0,neutral
crispr potential life extension,0.0,neutral
theyve created artificial ribosomal sub unit,0.25,positive
thank professor tried explaining hr online make even enticing sleep hr saved,0.6486,positive
youre rockstar,0.0,neutral
really liked video educator teaching medical resident student please share create animation video thanks advance dr arora,0.8908,positive
thanks sharing awesome,0.8689,positive
thanks mr bozeman great explanation question want heal patient genetic disease crisprcas corrects one cell cell heal one cell healed cell overcome original cell,0.8625,positive
fantastic summarize short time thanks,0.7579,positive
watched video still confused found video understood everything finally thank,0.0516,positive
host dna rna incorporated inserting gene believe said,0.0,neutral
well really helpful thank much,0.7889,positive
love,0.6369,positive
would like permission use video presentation church livestream youtube website go,0.3612,positive
blow mind,0.0,neutral
loove u,0.0,neutral
awesome explanation,0.6249,positive
found new favourite channel,0.0,neutral
thanks exciting video extremely informational interested advantage trcrrnacrrna chimera,0.8845,positive
really helpful,0.4754,positive
amazing explanation thank,0.743,positive
there one quastion ib mind use scisprcas human body immune system react foreign protein ca,0.296,positive
helpful thanks sharing,0.8176,positive
hmmmm maybe fancy crispr thinguhmajigger help grow hair back,0.4019,positive
thank much,0.3612,positive
best sir love pakistan keep good work,0.9062,positive
thank informative video,0.3612,positive
thank finally got,0.3612,positive
thank life saver exam tomorrow,0.3612,positive
really possible reprogram dna adult possible embryo,0.0,neutral
think itll used fir good wrong greed money power horrific,-0.8074,negative
perfect,0.5719,positive
shut give wolf ear,0.0,neutral
could help al,0.4019,positive
wonder modified crispr cutting original double stranded dna original gene sequence go seem like enzyme cleave dna specific location remove desired gene want replace,0.7906,positive
preparing medsku interview tomorrow hope theyll ask something could show year old lord bless,0.6908,positive
amazing yet terrifying genetically modified human could someone inject virus crisper process started without knowledge,0.0258,neutral
interesting thanks paul never thought would understood watched till end thanks,0.8176,positive
great job video much layperson could grasp thank please one oligodendroglioma brain tumor,0.743,positive
third part engineered linear strand plasmid scientist put crspr linear dna gene edit cell,0.0,neutral
im english speaker understood video thank much explanation visual helped lot teacher like guy,0.6124,positive
crisper introduce something dont want sorry introduction seeing last year attempt control society grand scale individual supposedly controlling everything happens plan regulate everything mostly function daily period well something introduced u ran recently scare ask well shut everything guise health emergency people control population banking health policing even worship even recognize thought process remember tom cruise movie minority report china already pushed forward credit system recognizes drop hat dna manipulation introduced human body next level digital id id recognize anytime want crispr yea good idea read bible,0.5541,positive
thank much super helpful,0.8481,positive
invest company working,0.0,neutral
great amazing faculty diseminate science congratulation,0.9153,positive
road hell paved good intention,-0.4019,negative
crispr bitch say b really actually admire individual call b especially female completely chill cool ego desire better one another hurt term endearment becomes sound mouth already meant intellect claim persistent persute human expression within language suppress dynamic form two vertical spired line dna seven dimension seven,0.8384,positive
never write commentary yt time need thank never understood de crispcas system till im happy know kind ridiculous feel great understand something couldnt really read paper actually understand thank thank thank,0.9565,positive
right level video molecular biology either target primary school level phd level dont see molecular biology video explaining staff high school bsc level,0.0,neutral
kinda like epigentic spacer,0.2975,positive
still answer comment,0.0,neutral
totally helpful,0.4754,positive
tracrrna function hold stuff place,0.0,neutral
went crispr system today student model biorad paper model im going make edpuzzle using video formative actually crispr experiment class lacz gene knockout thank depth video crispr,0.3612,positive
paying university,0.0,neutral
medical student nicely done mr anderson,0.4404,positive
still dont understand,0.0,neutral
loved explanation thank,0.7506,positive
awesome video thanks making,0.7906,positive
good,0.4404,positive
part change understand,0.0,neutral
could understand thank,0.3612,positive
tried explaining podcast go crispr technology explained perfectly thank,0.7717,positive
nice many thanks,0.6908,positive
cool video thanks,0.6369,positive
someone explain detail dna added,0.0,neutral
u manage insert new fragment cutting particular dna ligase associated ca complex,-0.128,negative
humane human,0.0,neutral
speaker talk little fast,0.0,neutral
well explained trouble understanding topic lecture thx,0.2263,positive
nice,0.4215,positive
recap end thanks much helpful,0.6908,positive
word best,0.6369,positive
mindblowing simple demonstration crispr ca,0.1027,positive
helpful took long time understand whats spacer dna repeat reading watching video really summarized simple complicated really want know,0.5256,positive
perfect thank,0.7351,positive
mad scientist really opened pandors box one rewriting million year evolution good technology top secret individual interested fame furtune impact world china utilizing technology recently built concentration camp could biolaboratories human yet wise enough wield power going make many wrong turn,0.7269,positive
awsome video thanks effort much appreicated helpful,0.6908,positive
grow taller cure hair loss ready take risk,-0.2263,negative
wow soo crispr make sense make fuss cause really potential start used make modified human like super soliders woooah could devastating,0.7096,positive
whats tech used,0.0,neutral
crispr another failed miracle cure,0.128,positive
thank clarifying,0.3612,positive
thank steve kerr,0.3612,positive
great explanationexcellent lecture,0.6249,positive
use clostridium difficilewhich really suck come might eliminate fecal trans plant,-0.4927,negative
far know crispr virus cause fever killed lot people major risk factor immunotherapy risk hope really working counter good way remove genetic disease dna cell repair cancerous cell good tool help people survive machine exist program dna externally destroy cell far away using kind qauntum non destructive computer controlled radiation stream,-0.2198,negative
love video review mcat material,0.6369,positive
watched school activity rewatch understand since im slow totally helpful illustration explanation thank,0.6801,positive
great explanation finally understood crispr really im ready learn,0.7832,positive
simple clear explanation thank much,0.6249,positive
crrna like sea otter chipping prey two stone hold tiny hand whilst floating back sea,0.6908,positive
verry helpful welcome addition show seen pb,0.7003,positive
amazing explanation completely understand,0.5859,positive
awesome job im taking genetics right really helped understanding material,0.6249,positive
great video understandable considered topic complex saw video thank sharing,0.8555,positive
nice thank,0.6486,positive
thats testing made virus release world dan made vaccine turned whole world lab rat vaccine way test technology free,0.5106,positive
cant wait create x men,-0.2057,negative
literally best clear video topic,0.7783,positive
grow pet,0.0,neutral
could make fortuane tech somebody us make pet plant ohh shit there giant green labradour locked closet soil everything ohh shit must cat giant green dog bark worse bite,-0.8834,negative
hi sir please make video pam,0.3182,positive
wonder celebs ultra wealthy already using technology create designer baby,0.5574,positive
ive seen real thing done lab anyone minute training silica like spin cell add caustic element run pcr amplification silica show procedure done go amount nothing literally imaginary go ahead amazed explanation animation watch done lab tell believe nothing,0.6908,positive
dude look tired id teaching whole freaking world,-0.6908,negative
though crispr technology make illigal alien u citizen without bureaucratic red tape,0.0,neutral
response helpful well im using video prepare level biology lecture,0.5994,positive
human race destroy generation thought would physic know molecular biology seen face evil unfortunately fool writing comment control regulating monster see utterly clueless,-0.9432,negative
interesting,0.4019,positive
people sick asshole make sound great show downside,-0.0516,negative
amazingly simplified comprehensible,0.0,neutral
nailed wow thank know abc,0.743,positive
yes helpful,0.6705,positive
excellent video bravo,0.5719,positive
biology lab rn think dna look like noodle,0.3612,positive
absolutely amazing explanation,0.624,positive
monster,0.0,neutral
wow right video simple perfectly explained,0.8402,positive
reading reading question simply find answer editing developed organism vehicle spreading change throughout every lecture article tell happens single cell change spread need inject large amount grna ca way make small change spread cell like virus anyone know please answer im scifi writer im trying get bottom accurately represent hypothetical situation plot,0.5859,positive
wow sure need review normal dna understanding complex sound interesting,0.8316,positive
wow crazy video made year ago year going see lot crispr trial starting finally get see effective tech going,0.6705,positive
amalgamation,0.0,neutral
could crispr used create covid lab,0.2732,positive
esto e una verdadera emergencia sanitarium e una dictadura mundial esta e la tercera guerra mundial pero se ha declarado abiertamente los que estn despiertos tienen pocas posibilidades de sobrevivir quienes dominan este mundo quieren tratarnos como terminales de computadora quieren instalarnos un software dejar que un algoritmo decida por nosotros e el fin de la era humana eso creen quienes no dominan porque ellos quieren que seamos transhumanos sin derecho elegir lo que se hace con nuestros propios cuerpos la vacunas modifican el adn eso est fuera de discusin un cuerpo humano normal puede producir la protena espiga el arn mensajero e lo que le ensea nuestro cuerpo producir esta protena sinttica el adn natural modificado se puede patentar porque e un producto de la naturaleza pero si aceptaste esta vacuna entonces tu adn ya est modificado ya est patentado eres transhumano los transhumanos perdern todos sus derechos porque ya sern considerados humanos los derechos humanos los protegern ante de que te enfades con quien te dice la verdad investiga si ya est despierto entonces te felicito de cualquier manera dios los bendiga todos de todos modos le deseo lo mejor,-0.2263,negative
helpful thank,0.6486,positive
god video good thank u sir,0.7579,positive
going study wish luck bois,0.6908,positive
think good video understand crispr ca system,0.4404,positive
crisper something inject body,0.0,neutral
eventually going build real human something bad ribow flaven,-0.5423,negative
crispr chimera yeah human animal dna splicing thats exactly theyre course public wont hear theyre late,0.296,positive
great video make sure gene interest get correct place ca protein cut blunt end,0.8074,positive
happen happening speak worldwide madman scientist decide use u obviously science good hand morally god person good hand psychopath using develop called medicine witness vacn thats full mrna dont know actually designed u stupid believe mad scientist often developing something done reviled slowly dr fauci evil friend wohan truth slowly emerging meantime million injected mrna vacns getting sicker dying,0.7783,positive
mortal put immortality corruptible put incorruptible come end death swallowed victory,-0.5994,negative
crisper satan,0.0,neutral
great video really helped get understanding crispr text book brought term werent defined excellent video happy,0.7005,positive
somebody explain system add host rna dna,0.0,neutral
thankyou please keep making video dont care video present certain topic way explain small amount time best,0.716,positive
covid vaccine,0.0,neutral
actually dr new hitler use undoubtedly wipe mass,0.0,neutral
main stream medium,0.0,neutral
year later,0.0,neutral
great job explaining nearly lost mind understanding,0.4215,positive
best video,0.6369,positive
still understand cut see cut,-0.4939,negative
really helpful thank mutch,0.707,positive
nice video saved hour reading many thanks effort,0.8176,positive
recitation unclear,-0.25,negative
marvelously well done,0.2732,positive
isnt possible presence crispr spacer sequence multiple time genome sequence short compared genome size specie crispr cut dna multiple location,-0.2732,negative
incredibly helpful thank,0.707,positive
helpful video thank,0.6486,positive
ill test dummy,-0.4215,negative
ive finished reading jennifer doudnas book good passed gp excellent follow well done,0.8271,positive
thank ive done alot research couldnt fully understand till big thanks,0.6597,positive
video great thank,0.765,positive
yeah intermediate bio final coming already tested sufficient say seven minute took explain realized many hour wasted life ill never get back trying understand thank simple elegant description crispr ca,0.2023,positive
oh love thank much text book making eye glaze like say video found short super intense,0.9246,positive
amazing science help many people seems like getting hand evil greedy people want dehumanize control mind thought behavior want part prefer stay way god made,0.6597,positive
wonderfull explanation thank,0.3612,positive
question technology used gain function research,0.5267,positive
really helped thanks,0.4902,positive
sometimes wonder pay much money university degree thank video,0.2732,positive
simply amazing,0.5859,positive
heard understand gnome chromo dna good medical certainly used incorrectly,0.6486,positive
perfect looking human future,0.5719,positive
beautifully explained video thank u much informative video,0.7351,positive
religious agenda got whole psychotic break rna great video man,0.6249,positive
thank much easily understood mechanism crisprcas watching video,0.5994,positive
function repeated segment,0.0,neutral
stuff said complex simple,0.0,neutral
look graphene structure point line many six one say proton neutron electron mark beast also cause pain revelation noisome grievous sore revelation something medicinal cause chip implant human body percent carbon therefore number man also revelation,-0.8176,negative
man love,0.6369,positive
crispr technology graphene oxide hydra vulgaris working handinhand every one vaccine covid,0.0,neutral
tree knowledge good evil man playing god best left alone,0.5574,positive
really appreciate thisjc,0.4576,positive
one thing dont understand injects crispr modify gene attempt create enhanced muscle growth however website plug called odin doesnt sell talk therapy website odin someone please elaborate,0.7184,positive
brilliant video thank definitely using video aback link need seen people,0.8402,positive
thank much indeed helpful,0.6486,positive
humanity end,0.0,neutral
great job,0.6249,positive
fantastic video sir thank,0.7269,positive
saved life thankyou,0.4215,positive
usually comment amazing work,0.5859,positive
application crohn disease tks,0.0,neutral
absolutely awesome well explained thanks french biotechnology master degree student,0.8648,positive
look like bug found jab vile week,-0.3818,negative
great feedback please speak little slower put speed went touch fast maybe overall explanation helpful thank sharing,0.926,positive
covid vaccine crispr research,0.0,neutral
crispr method help fighting virus like covid malaria,0.4019,positive
thank really helpful engaging,0.8059,positive
yeah sure helpful,0.743,positive
explain mrna vaccine,0.0,neutral
observed crispr knockout protein x either promotes represses rna polymerase ii transcription depending gene experiment would carry reveal mechanism differential activity,0.0258,neutral
yea god stop,-0.0258,neutral
found useful thank,0.6597,positive
sick minded peopletheyre sickening u covid jab treat elite later dna interferencei thought banning cloning wed never live nightmare,-0.6124,negative
nice instructional video would able follow background developing pcr equipment maybe edit include something dna structure know phosphate sugar base pair made agct course u rna given wild sometimes seemingly insane garbage flooding web arising kneejerk reaction inept clumsy messaging national medical establishment people really need thing explained one,0.0258,neutral
yes helpful simplest explanation crispr,0.6705,positive
excactly looking thank,0.3612,positive
short zombie apocalypse going sci fi anymore,0.0,neutral
nice way mutating human zombie,0.4215,positive
building block add library intelligent dna make use neat,0.4767,positive
playing god hello covid sars,0.4404,positive
helpful best explanation,0.7906,positive
rondomly ideal pepole die year dna cell repair limity pepole life make human cell cut turn like hydra infinity repair cell crisprcas pepole life forever,-0.0258,neutral
yes created created everything using patient blood downfall never tested human order dont knowledge long term effect going experiment study symptom human year go bout problem caused animal became ill havent euthanized mention baby china,0.0516,positive
deadly human something go wrong,-0.4767,negative
best crispr video thank much,0.7717,positive
wow dangerous helpful ppl need dont let military lol,0.2887,positive
crispr satan technology harm humanity,-0.5423,negative
holy shit,-0.5574,negative
giving goofy name like crisper make difficult take seriously,0.1779,positive
simple nicely explained easy understand,0.7003,positive
covid left chat,0.0,neutral
helpfull indeed thank much great job,0.765,positive
crud operation dna,0.0,neutral
im science teacher watch video time theyre great combo info visuals thanks,0.7906,positive
fantastic thank,0.7269,positive
saddens born year ago grand time people hundred year,0.0258,neutral
feel like youtube perfect example education system failing couldnt retain shit bc always stressed literally every science youtube video stuck like glue know chemistry biology youtube ever learned ap class whats say maybe stress inhibits certain type learning im never stressed im youtube lmaoo even college course youre nearly stressed highschool crazy,-0.5962,negative
still complicated,0.0,neutral
watched video around six time helped much seminar paper,0.0,neutral
fluent enjoyable visualsin word great tv computer stuff without previous hardearned background genetics chemistry etc one understands crispr shallow nonretainable way good effort explaining terrifying technology effort undercut medium,0.7351,positive
excellent exposition,0.5719,positive
gratitude dr osaoji youtube helped eliminate herpes virus within day using medication,0.5106,positive
great explanation thank much,0.765,positive
application use mean needed know newbie youtuber someone pls help,0.4588,positive
great teacher,0.6249,positive
subhanallah,0.0,neutral
actually put cell though,0.0,neutral
im learning right college biology class god cant professor understand better,-0.0788,negative
idk man always think much like photoediting tool,0.2732,positive
finally,0.0,neutral
wow thats amazing,0.8225,positive
ive struggling understand month thank simplifying,-0.0772,negative
exelente,0.0,neutral
man fucking legend,0.0,neutral
legit one best video crispr,0.6369,positive
wonderful,0.5719,positive
excellent video,0.5719,positive
teacher pwease,0.0,neutral
good video thank,0.6597,positive
really helpfull thank u,0.4173,positive
amazing thanx making simple,0.5859,positive
hell even nothing good course,-0.7909,negative
im currently working graduate research infectious disease institute specifically focusing knockout technique mycobacteria abscessus best explanation crispr ever seen,0.6369,positive
wow easy understand thank much,0.8481,positive
possible build nanotecnology medicine kill cancer infection,-0.8779,negative
greatest video youtube,0.6369,positive
explanation well thought,0.2732,positive
way speak see fully understand subject matter respectful,0.5209,positive
youre great man,0.6249,positive
thats crystal clear,0.3818,positive
hey paulyou knocked ball park hot topic love break term everyone understand,0.6369,positive
imagine invested company year ago,0.0,neutral
covid vax,0.0,neutral
plls explain happen viral dna ca cut break try repair like human dna,0.1027,positive
best video explaining crisprcas ever seen thank much,0.7717,positive
ufff amazing thank first time understand,0.743,positive
good explanation thank,0.6597,positive
know covid vaccine,0.0,neutral
awesome spent week trying sort looked first thank,0.765,positive
dont quit fucking god work let nature healer like intendedyou never good replace god fail miserably,-0.8614,negative
jump jump follow everywhere,0.0,neutral
missed pam,-0.296,negative
hibi ey anlamadm,0.0,neutral
absolutley right video topic either complex simple explained perfectly also found one also nicely explained,0.7964,positive
one best crispr video,0.6369,positive
amazing thanks lot informative video,0.7717,positive
switched dna rna im confused,-0.3182,negative
great explanation concise informative thanks lot,0.7906,positive
video could helpfull awesome thank understood everything thanks,0.8591,positive
amazing job,0.5859,positive
genetic hybrid specie present complex thesis biochem mystery trace outer space earthly race aint nothinbaby alien chimp,0.0,neutral
im studying med school entry exam book doesnt explain crispr well since revolutionary technology im almost certain exam thank,0.3025,positive
much coool got nicely,0.4404,positive
hard time believing virus real germ theory land moon solid moon kill germsviruses even real education system proven self dam stupid academia joke sound like idiot even arrogant,-0.8934,negative
yes helpful scary,0.3182,positive
hope technique help dmd child soon thanks,0.8176,positive
great video never fully understood crispr vid thanks making,0.7906,positive
perfect intermediatelevel explanation thanks much studying cancer pharmacology final exam special topic lecture crispr ca cancer therapy,-0.128,negative
loved video,0.5994,positive
wow super helpful thanks milion,0.9246,positive
cure hiv,0.0,neutral
good video helped lot crispr unit chem,0.4404,positive
bet technology really used covid vaccine,0.0,neutral
simple brah please explain pam sequence work critical part,0.0,neutral
treatment autism,0.0,neutral
sir adore thank much,0.7269,positive
puzzled trying understand crspr getting weed accomplished breaking something brilliant ordinary mortal begin understand take another special type brilliance thank recognizing need made day,0.9337,positive
great explanation thank,0.765,positive
thank king,0.3612,positive
well short repeat segment call genetic genaology snp curious,0.5267,positive
ccp flu vaccine,-0.3818,negative
youre best,0.6369,positive
amazing video perfectly simply explained,0.8402,positive
like video really beneficial everyone thanks,0.8341,positive
explained ca know cut dna,-0.2732,negative
bacteria genetics contained nucleus memory,0.0,neutral
regarding m mark ca seems cell detect invader ie previous dna history still neutralize need save dna vaccinationcard record get ca scissors must combined chimera guide grna grna composed crispr crrna spacer segment match tracrrna hold crrna place move rna complex desired spot bacteria version chimera tracrrna singlegene disorder ex huntington assuming draw whitebloodcells inject plasmid cccas incubate grow enough modified cell hood cascrispr complex delivered avoid human immune system injected specific tissue bone marrow eggsperm example often mentioned offtarget danger gene therapy cancer modified virus insert part chromosome rather gene interest crispr concern percentage cell tissue would need altered order prevent disease also isnt silencing gene expression preferable similarly cut insert genetic material know segment get expressed making gene edit still requires another mechanism top express compare epigenetics rnairisc complex finally bio eats world podcast dr jennifer doudna describes precas utility crispr protein target rna cutting wasnt exciting m see also life scientific podcast mark,-0.7317,negative
honestly thank much science olympiad regional two day threw topic last minute background field watching video word didnt know basically looking every word video gave basic understand rest complicated video thank,0.7906,positive
really excellent video,0.6115,positive
video best choice,0.6369,positive
thats im talking thats he mvp thats he goat goaaaaaaat,0.0,neutral
host rna host dna think dna right rna wouldnt make sense,0.0,neutral
helpful thank kindly,0.8176,positive
wish spoke slower speak reading give describing analogy,0.4019,positive
im little confused original palindrome detected created,0.2534,positive
jhjh,0.0,neutral
fantastic liked subscribed,0.7506,positive
best video watched explaining crisprcas system,0.6369,positive
amazing wonderful fascinating thanks man,0.9313,positive
bad illegal,-0.7964,negative
id like ask possible identify edited crisprplants progeny thanks,0.6597,positive
thanks useful lesson,0.7003,positive
actually unintentioanly clapped end bravo great video,0.6249,positive
system evolved naturally millennium,0.0,neutral
say someone think new covid vaccine crispr device dont even know begin correct impossibility thought id ask help thank,0.6369,positive
absolute beast,0.0,neutral
watch like time took note third time sink god help beginning,0.743,positive
edit gene grown human embryo,0.0,neutral
unclear hairpin structure guiderna related chimera including thr hostdna fit together cleaveguiding crna piece make entire complex generally better video ive seen though,0.5267,positive
shut fuck,-0.5423,negative
wasssuppp,0.0,neutral
still dont understand one thing someone help cut dna want cut cut twenty base pair one cut dna,-0.5267,negative
hijack,0.0,neutral
really like unusual way pronounces word repeatas reeeepeat ar great video dude,0.7841,positive
